x,y,z
0.045903315,0.02595879,1.06E-05
0.042561154,0.040035402,1.92E-05
0.031703973,0.034907928,1.61E-05
0.03496553,0.013827052,2.93E-06
0.039560406,0.009104315,0
0.05,0.009166416,0
0.047907714,0.020667431,7.09E-06
0.049097366,0.020439659,5.28E-06
0.051134832,0.001971321,1.62E-05
0.05,0.001631733,0
0.036735736,0.056144563,2.32E-05
0.035556477,0.060481328,2.53E-05
0.031629319,0.059222999,2.47E-05
0.049138891,0.023045695,1.09E-05
0.04801838,0.041707385,2.51E-05
0.050332097,0.020574313,7.69E-06
0.056898015,0.022498347,9.84E-05
0.06439129,0.025336527,2.09E-04
0.060367013,0.029435372,1.48E-04
0.064316311,0.02339527,2.04E-04
0.048264929,0.047762738,3.74E-05
0.047635081,0.062427567,5.10E-05
0.050696033,0.023808182,2.33E-05
0.051538758,0.042095351,5.15E-05
0.065844581,0.05437092,2.68E-04
0.045361117,0.111965566,1.02E-04
0.045266932,0.114300576,1.04E-04
0.04424409,0.113656472,1.02E-04
0.046282489,0.08213485,1.08E-04
0.050220838,0.086397531,1.32E-04
0.050209395,0.082181943,1.25E-04
0.050227824,0.089079125,1.36E-04
0.046732431,0.089610654,1.25E-04
0.05313055,0.086847049,1.77E-04
0.045612354,1.195843576,2.61E-05
0.046662814,1.206544637,1.99E-05
0.039706917,1.199836672,2.38E-05
0.046955199,1.21399013,1.03E-05
0.049110073,1.232276837,3.01E-06
0.038108412,1.217837385,8.77E-06
0.045230205,1.180107008,4.50E-05
0.045586343,1.184720042,4.17E-05
0.042491506,1.182832669,4.30E-05
0.066527292,0.132590196,2.43E-04
0.066521037,0.132538863,2.43E-04
0.066095623,0.132841175,2.41E-04
0.066531625,0.132627344,2.43E-04
0.066562642,0.132570343,2.44E-04
0.066568271,0.132612506,2.44E-04
0.049534549,1.208783292,2.35E-05
0.049305361,1.193146054,3.50E-05
0.058309434,1.194486864,1.46E-04
0.049869649,1.213882981,1.43E-05
0.049967887,1.233436921,3.51E-06
0.050725151,1.158185052,8.78E-05
0.040355423,1.160699525,6.67E-05
0.050790289,1.150480817,9.57E-05
0.056817477,1.155300317,1.69E-04
0.050836788,1.144812548,1.01E-04
0.047327649,1.142681623,9.61E-05
0.058079159,1.144116832,1.75E-04
0.051334725,1.170714421,5.61E-05
0.051054271,1.185669881,4.43E-05
0.055993979,1.177518657,9.79E-05
0.055076975,1.187366643,8.29E-05
0.051290781,1.23174092,1.29E-05
0.054659841,1.210630419,4.65E-05
0.068917652,1.210845272,1.32E-04
0.066055854,1.180142256,1.91E-04
0.027558915,0.080307606,2.39E-05
0.031355311,0.069689481,2.71E-05
0.014945264,0.070732651,9.64E-06
0.01152109,0.072560551,6.11E-06
0.011525353,0.070977749,5.82E-06
0.052920695,0.001585986,2.13E-05
0.050838162,8.62E-04,8.64E-06
0.011158365,0.15563636,1.75E-05
0.011146402,0.143210948,1.58E-05
0.018910519,0.149090649,2.34E-05
0.011949316,0.176619426,1.75E-05
0.01692827,0.157748337,2.13E-05
0.011265068,0.176292028,1.70E-05
0.011269304,0.177464351,1.72E-05
0.026723967,0.109631457,3.17E-05
0.024717724,0.111445996,3.10E-05
0.023333419,0.106918212,2.83E-05
0.028208677,0.106320747,3.32E-05
0.027762063,0.097164279,3.03E-05
0.028355742,0.108928267,3.32E-05
0.011280765,0.100086517,9.58E-06
0.011517094,0.072974978,6.16E-06
0.027414045,0.082903896,2.41E-05
0.011224436,0.105610742,9.99E-06
0.011117915,0.126706546,1.27E-05
0.066261633,0.021912181,2.03E-04
0.065166714,0.024932291,2.15E-04
0.072708726,0.012832994,1.55E-04
0.086258297,0.013136261,1.24E-04
0.030905015,0.124461103,4.89E-05
0.029317678,0.128908795,4.68E-05
0.029787875,0.11723054,4.33E-05
0.030039552,0.08338879,3.37E-05
0.042141399,0.080017041,7.47E-05
0.038178526,0.069292675,5.15E-05
0.034817094,0.094143785,4.85E-05
0.043760242,0.142616443,1.39E-04
0.043466655,0.076928137,7.94E-05
0.067211822,0.052175506,2.75E-04
0.067007904,0.040877312,2.54E-04
0.066919108,0.026593039,2.12E-04
0.087192924,0.014510736,1.24E-04
0.087205881,0.013162424,1.21E-04
0.042503172,0.109708445,9.55E-05
0.047572003,0.130700587,1.42E-04
0.037051369,0.120695578,7.55E-05
0.044374634,0.115684731,1.05E-04
0.011967743,0.177333392,1.77E-05
0.032215752,0.126262674,5.29E-05
0.048296511,0.141535609,1.55E-04
0.030663664,0.182231906,6.68E-05
0.035664292,0.183079806,8.69E-05
0.032394154,0.188612077,7.29E-05
0.016134552,0.212281102,2.68E-05
0.011503926,0.215849254,2.43E-05
0.011342266,0.20539239,2.31E-05
0.022512037,0.21058574,4.84E-05
0.012693567,0.179058613,2.06E-05
0.032085795,0.197033535,7.78E-05
0.009376628,0.237871927,2.04E-05
0.015429692,0.27616705,3.52E-05
0.011627669,0.278658416,3.12E-05
0.01168736,0.273591015,3.09E-05
0.015646042,0.278864537,3.58E-05
0.016867908,0.270944337,4.18E-05
0.009776991,0.25456044,2.32E-05
0.018072421,0.276993814,5.01E-05
0.01136462,0.308036256,3.31E-05
0.012745991,0.308148859,3.46E-05
0.011340955,0.309617293,3.32E-05
0.01231538,0.308962123,3.38E-05
0.016297219,0.58802981,5.50E-05
0.011377475,0.593483785,3.98E-05
0.011963219,0.583772961,4.14E-05
0.019494462,0.570655314,6.26E-05
0.011928842,0.562130897,3.86E-05
0.048596088,1.233507514,9.60E-07
0.049686758,1.234105239,1.30E-06
0.012009308,1.162217371,1.68E-05
0.011946069,1.135882929,2.32E-05
0.024868596,1.147614691,2.85E-05
0.012662719,1.163083569,1.70E-05
0.013630573,1.163817176,1.78E-05
0.031526472,1.162828538,3.31E-05
0.050287028,0.162781927,1.66E-04
0.051367269,0.162027196,1.69E-04
0.051520985,0.162931146,1.71E-04
0.050695761,0.152073949,1.68E-04
0.052320354,0.163031046,1.80E-04
0.051885553,0.162148091,1.69E-04
0.052987168,0.161409886,1.85E-04
0.032301605,0.124541444,5.30E-05
0.068215066,0.052303654,2.80E-04
0.071332272,0.051913283,2.70E-04
0.086936123,0.045143711,1.91E-04
0.033297463,0.125582008,5.69E-05
0.049260142,0.14074608,1.58E-04
0.066552132,0.132669412,2.44E-04
0.0550761,0.065472115,7.21E-05
0.068385752,0.054952873,2.80E-04
0.06835259,0.079903729,2.69E-04
0.086427195,0.086415018,2.00E-04
0.086685849,0.086086536,1.98E-04
0.083362209,0.080603316,2.14E-04
0.086211137,0.086755117,2.01E-04
0.08668041,0.086694394,1.98E-04
0.086676385,0.087123615,1.98E-04
0.086306705,0.087311638,2.00E-04
0.058048144,0.104319835,1.17E-04
0.067835873,0.095385999,2.63E-04
0.066309085,0.108193432,2.53E-04
0.053786245,0.163595056,1.87E-04
0.038942817,0.19046648,1.19E-04
0.052010645,0.16522881,1.77E-04
0.052864122,0.198344312,1.74E-04
0.04178831,0.205729302,1.11E-04
0.061152459,0.185704603,2.22E-04
0.060847403,0.197072897,2.14E-04
0.010877078,0.242385193,2.57E-05
0.009186916,0.244393584,2.03E-05
0.031201932,0.215276965,7.29E-05
0.044385665,0.233036839,1.41E-04
0.046701327,0.229409223,1.48E-04
0.011995046,0.529723594,4.07E-05
0.015155614,0.528201259,4.99E-05
0.012011225,0.524923344,4.08E-05
0.025642373,0.471176824,8.47E-05
0.012028602,0.447219306,3.84E-05
0.012064298,0.463319243,3.93E-05
0.025234857,0.474261072,8.34E-05
0.012079052,0.483053651,4.01E-05
0.012099258,0.494288492,4.00E-05
0.013525164,0.309243616,3.88E-05
0.014752352,0.312801802,4.34E-05
0.011368107,0.322140905,3.35E-05
0.023094675,0.419020926,6.97E-05
0.011969166,0.432752026,3.70E-05
0.011715008,0.411732118,3.62E-05
0.011639502,0.401406402,3.53E-05
0.023877152,0.407419871,7.13E-05
0.032125023,0.29773034,9.74E-05
0.032180594,0.297632703,9.78E-05
0.032158441,0.297860722,9.77E-05
0.032111347,0.298348796,9.76E-05
0.012663136,0.24806621,3.16E-05
0.033480703,0.262902145,8.83E-05
0.03941514,0.273915158,1.15E-04
0.044683237,0.237501705,1.42E-04
0.044143808,0.261563522,1.46E-04
0.032538917,0.297607731,9.93E-05
0.050156936,0.282030832,1.66E-04
0.013613027,0.33963566,4.07E-05
0.011385962,0.340384608,3.29E-05
0.011397364,0.343299673,3.32E-05
0.03233994,0.331174253,9.68E-05
0.026749533,0.472296804,8.74E-05
0.030262729,0.545580239,9.91E-05
0.027893191,0.547168825,9.31E-05
0.02872787,0.543806348,9.55E-05
0.029858048,0.549867496,9.93E-05
0.011978792,0.536131536,4.13E-05
0.030705025,0.542906241,1.01E-04
0.029518028,0.509137449,9.56E-05
0.028149036,0.482018836,9.25E-05
0.032503221,0.50825789,1.04E-04
